quantity_level,quantity_evidence,clutter_level,clutter_evidence,image_name
medium,"A person (1);Green armchair with multiple cushions (at least 3 distinct pillows: green, blue, red);Wine glass (1);Bottle of wine (1);Fruit bowl with visible fruits (banana, orange, apple, grapes — ~4 distinguishable items);Newspaper (1);Wooden shelf with multiple books (visually distinguishable spines: ~10–12);Decorative items on shelf: red cup, candle tray with two candles (3 items);Potted plant (yucca-type) with trunk and leaf cluster (1 object, though complex internally);Smaller plant behind it (1);Framed artwork on wall (1);Leaf-patterned curtain (1 large background element, not counted as multiple objects due to uniform pattern)",medium,"Objects are distributed across foreground (table with bottle, fruit, newspaper), midground (person, chair, pillows), and background (shelf, plants, curtain), creating layered depth but not extreme overlap;The shelf contains tightly packed books and decor, causing local spatial density;The fruit bowl has overlapping fruits, and the pillows on the chair partially occlude each other;No severe occlusion of major elements (e.g., person is clearly separable, wine glass is distinct), but visual grouping requires effort due to multiple competing midground elements (person, glass, pillows, plant);Sufficient negative space exists between major regions (e.g., wall area above shelf, space beside chair), preventing high clutter",IS1/co2/IS_I_C02_D07.jpg
high,"Multiple distinct objects visible: person, wine glass, wine bottle, fruit bowl with at least 5 identifiable fruits (banana, orange, apple, grapes, possibly pear), newspaper, coffee table, bookshelf with ~12+ books, two candles on a tray, ceramic bowl, framed artwork, potted plant (yucca) with multiple leaf clusters, sofa with 3+ pillows (green, blue, red), and patterned curtain with repeated leaf motifs (treated as one background element but contributing to object count via repeated distinguishable leaf shapes).;The scene contains numerous discrete visual entities across foreground, midground, and background layers.",medium,"Objects are spatially distributed with some separation: the person occupies the right side, the bookshelf and table are on the left, the plant is in the center-back — providing moderate visual breathing room.;However, the bookshelf is densely packed with books and decorative items; the coffee table holds multiple overlapping items (bottle, bowl, newspaper); the sofa has tightly arranged pillows; and the curtain pattern adds dense repeating elements in the background.;No severe occlusion of major objects (e.g., person fully visible, wine glass unobstructed), but the density of small items in localized regions creates moderate difficulty in rapid perceptual segmentation.",IS1/co2/IS_I_C02_D08.jpg
high,"Multiple distinct objects: person, sofa, 3+ pillows, wine glass, wine bottle, fruit bowl with ≥5 visible fruits (banana, orange, apple, grapes), newspaper, bookshelf with ~15+ books, decorative bowl, two candles, ceramic cup, framed artwork, potted plant (yucca), smaller plant, curtain with leaf pattern (treated as one background element, not counted as multiple objects), and small dish on shelf.;Each book spine is visually distinguishable; each fruit in the bowl is separable; each pillow is a distinct visual entity; all items on the shelf are individually resolvable.",medium,"Objects are spatially distributed across foreground, midground, and background with clear separation zones: person on sofa (central), side table (left foreground), bookshelf (left midground), plants (midground), curtain (right background).;Some occlusion occurs: hand partially obscures wine glass base, person’s arm overlaps torso, pillows overlap sofa edges—but no severe interleaving or dense packing.;No strong competing focal points: person is dominant, but other elements are arranged peripherally without visual crowding; sufficient negative space exists between major object groups (e.g., gap between bookshelf and sofa, open wall area above shelf).;The leaf-patterned curtain adds texture but does not increase object count or cause perceptual interference—background pattern is not counted as clutter-inducing per definition.",IS1/co2/IS_I_C02_D09.jpg
high,"Multiple books on two shelves (at least 15+ spines visible);Fruit bowl containing at least 5 distinct fruits (banana, orange, apple, grapes, possibly others);Two candles and a red bowl on the top shelf;A framed artwork on the wall;A potted yucca plant with multiple leaf clusters and trunk;A second smaller green plant behind the person;A wine bottle, newspaper, and placemat on the coffee table;The person (one figure), sofa, multiple pillows (green, blue, red), and blanket;Curtain with repeating leaf pattern (treated as one background element, not counted as separate objects per definition)",medium,"Objects are grouped in distinct zones (shelf, table, sofa area), reducing overall spatial overlap;Some occlusion: fruit partially overlaps in bowl; books tightly packed but still individually distinguishable; person’s arm partially obscures pillow;No extreme density—there is visible negative space between major object groups (e.g., gap between shelf and sofa, wall space above);Multiple focal regions (person, shelf, plant) compete for attention but remain separable without significant visual strain",IS1/co2/IS_I_C02_D11.jpg
high,"Multiple books on two shelves (at least 10+ spines visible);Fruit bowl containing at least 5 distinct fruits (banana, orange, apple, grapes, leafy greens);Bottle of wine with striped label;Newspaper folded on table;Three candles on a dish (two blue, one purple);Red ceramic cup;Potted yucca plant with multiple fronds and trunk;Smaller potted plant beside it;Man seated on sofa;Sofa with at least 4 distinct pillows (green, blue, red, lime);Framed artwork on wall;Patterned curtain with repeated leaf motifs (treated as background texture, not counted as objects; but the curtain itself is one object);Hoodie, jeans, glasses — treated as parts of the person, not separate objects per se, but clothing details contribute to visual elements",medium,"Objects are arranged in distinct zones: left shelf/table, central plant, right sofa—reducing spatial overlap;No severe occlusion: most objects are fully or mostly visible (e.g., books not stacked haphazardly, fruit bowl contents discernible);Some density on the left side (shelf + table items close together), creating local visual competition;The man’s hand holding the wine glass partially overlaps his torso and lap, but does not obscure major elements;Pillows on sofa are adjacent but separable; no interweaving or entanglement;Background curtain has high pattern density, but as a continuous surface it contributes less to *object* clutter than to texture—per definition, clutter concerns object arrangement, not background texture",IS1/co2/IS_I_C02_D10.jpg
high,"Multiple distinct objects visible: person, wine glass, wine bottle, fruit bowl with at least 5 identifiable fruits (banana, orange, apple, grapes, possibly pear), newspaper, red cup, two candles on a dish, potted plant (yucca) with multiple leaves and trunk, second smaller plant, bookshelf with ~12+ books (visually separable spines), framed artwork, curtain with leaf pattern (treated as one background element, not counted as separate objects), sofa, three pillows (green, blue, red), and hoodie text (not an object).;At least 20+ visually distinguishable foreground/midground objects are present, exceeding typical 'many' thresholds in complexity studies.",medium,"Objects are distributed across multiple planes (foreground table, midground shelf/plant/person, background curtain/wall), providing some spatial separation.;Some occlusion occurs: the person partially obscures the sofa and pillows; the fruit bowl overlaps the bottle and newspaper slightly; books are tightly packed but still individually discernible.;No extreme density or interweaving—there are visible gaps (e.g., wall space above shelf, empty floor area), and major elements (person, plant, shelf) occupy distinct regions, reducing perceptual competition.;The scene has multiple focal candidates (person, wine glass, fruit bowl, plant), but they are spaced enough to allow sequential parsing without severe ambiguity.",IS1/co2/IS_I_C02_D12.jpg
high,"Multiple distinct books on two shelves (at least 15+ spines visible);Fruit bowl containing ≥5 identifiable fruits (banana, orange, apple, grapes, possibly others);Wine bottle with striped label;Newspaper with visible text and image;Three candles on a tray;Ceramic bowl and glass dish on shelf;Potted yucca plant with multiple leaf clusters and trunk;Man with visible clothing, glasses, hair, facial features;Sofa with at least 4 distinct cushions (green, blue, red, partial yellow);Framed artwork with large leaf motif;Patterned curtain with repeating leaf elements (treated as one background texture, but the leaf motifs are visually distinct repeating units contributing to object count);Side table surface with multiple items arranged",medium,"Objects are densely arranged on shelves and side table, with minimal empty space between books and decorative items;Some occlusion: fruit partially obscures bowl rim; books tightly packed; wine bottle partially overlaps newspaper;However, major objects (man, sofa, plant, shelf unit, artwork) remain spatially separated with clear boundaries;No severe interleaving or visual fusion—elements can be segmented with moderate effort; no overwhelming competing focal points simultaneously demanding attention",IS1/co2/IS_I_C02_D13.jpg
high,"Three people visible as distinct figures;Multiple furniture items: low table, bookshelf, sofa, floor mats;Numerous books on shelf (visually separable spines);Several decorative objects: framed artwork, potted plants (at least two), bowls, candles;Game-related items: board game on table, Trivial Pursuit box, snack bag, beverage cans/bottles, scattered cards;Pillows, scarves, and clothing details contribute to distinguishable visual parts",high,"Objects densely packed in central floor area: game box, snacks, drinks, cards all overlapping or adjacent on small mat;Foreground elements (people, mats, items) occlude parts of background (bookshelf, sofa legs);Vertical stacking on bookshelf creates layered visual density;Multiple competing focal regions: left person gesturing, center game table, right person on sofa, wall pattern—no dominant empty space to guide grouping;Floor-level items lack clear spatial separation; visual boundaries between objects are blurred due to proximity and low lighting",IS1/co3/IS_I_C03_D01.jpg
medium,"A person (1);Green armchair with multiple cushions (at least 3 distinct pillows: lime green, blue, red);Wine glass (1);Bottle of wine (1);Fruit bowl with visible fruits (apple, orange, banana, grapes — ~4–5 distinguishable items);Wooden shelf holding: ceramic bowl, two candles on dish, and ~10+ books (visually separable spines);Potted plant with trunk and leaf clusters (~2 major visual parts: trunk + foliage);Smaller plant in front (~1);Framed artwork on wall (1);Newspaper on table (1);Curtain with leaf pattern (treated as background texture, not counted as objects per definition);Total visually distinguishable objects ≈ 20–25, which is moderate—not sparse, not densely packed",medium,"Objects are distributed across foreground, midground, and background without severe overlap, but spatial density is noticeable: the shelf is tightly packed with books and decor; the coffee table holds bottle, bowl, and newspaper in close proximity;;The person’s arm partially occludes the green pillow and torso overlaps chair back, creating mild occlusion;;Multiple competing focal regions: person’s face, wine glass, fruit bowl, and bookshelf all draw attention simultaneously;;However, clear separation exists between major regions (e.g., person vs. shelf vs. plant), preventing high clutter; no dense interleaving or extreme crowding.",IS1/co2/IS_I_C02_D14.jpg
high,"Three people present as distinct visual entities;Multiple books on two shelves (dozens visible);Several potted plants (at least three distinct plants);Furniture items: green sofa, small black coffee table, wooden shelf unit, floor cushions;Game-related items: Trivial Pursuit box, HUGO gift bag, board game surface, cards in hand;Snack and drink containers: chip bag, juice carton, Coca-Cola can, Dr Pepper bottle;Decorative items: framed artwork, fruit bowl, candles, pillow, scarf;Floor mats and clothing items (socks, pants, sweaters) contributing to distinguishable elements",medium,"Objects are distributed across floor, furniture, and shelves with moderate spatial density;Some overlap/occlusion: e.g., snack items and game boxes on blue mat partially overlapping; person on left partially obscures red cushion;No extreme crowding or dense interweaving—significant floor space remains visible between groups of objects;Visual groupings exist (e.g., game items clustered on mat, books on shelf), aiding perceptual separation;Background curtain pattern is visually busy but treated as background texture, not counted as clutter-inducing objects per definition",IS1/co3/IS_I_C03_D02.jpg
high,"Three people visible as distinct figures;Multiple furniture items: bookshelf, low table, sofa, floor mat;Numerous books on shelf (visually distinguishable spines);Several potted plants (at least three distinct plant forms);Game boxes (Trivial Pursuit, Hugo bag), snack bags (Jumbo Snack), beverage cans/bottles;Framed artwork, fruit bowl, decorative bowls and cups on shelf;Scattered cards and small objects on floor/mat;Patterned curtain with repeating leaf motifs (treated as background texture, not counted as objects per definition; however, the leaf elements are visually distinct enough to contribute to object count in foreground/midground layers)",high,"Objects densely packed on floor around central area: game boxes, snacks, drinks, cards all overlapping or adjacent with minimal spacing;Bookshelf is tightly filled with books and containers, creating visual density;People seated in close proximity with limbs and objects intermingling (e.g., man’s legs crossing into shared space, woman partially occluded by man’s arm/shoulder);Foreground contains multiple competing elements (snack bag, can, game box, cards) within a small region, reducing separability;Midground has overlapping layers: table under shelf, plants near wall, person behind sofa edge — spatial interleaving makes segmentation difficult at a glance",IS1/co3/IS_I_C03_D03.jpg
high,"Multiple distinct objects visible: three people, two potted plants, a framed picture, a bookshelf with numerous books and containers, a small table with a board game, snack bags (e.g., yellow chip bag), beverage cans/bottles, gift bags, cards on floor, cushions, and wall pattern elements.;The bookshelf alone contains >10 distinguishable items (books, bowls, cups, fruit bowl).;Floor area includes at least 6+ discrete items (snack bags, drinks, game boxes, cards, mats, shoes/socks).;Wall features include framed art, plant leaves, and repeating leaf/cherry pattern—each leaf or cluster may count as a distinguishable visual element in the background pattern.",high,"Objects are densely packed in the central floor area: snacks, games, drinks, and cards occupy a small region with minimal empty space.;Occlusion occurs: the man on the right partially obscures the floor items near his legs; the woman on the sofa overlaps with pillows and background pattern.;Multiple competing focal regions: left person holding cards, center floor items, right person with phone, background shelf and wall pattern—all draw attention simultaneously.;Visual grouping is difficult: overlapping layers (e.g., blue mat under items, legs over mats, bags beside legs) reduce perceptual separability.",IS1/co3/IS_I_C03_D05.jpg
medium,"Three people are clearly distinguishable as separate visual entities.;Multiple discrete objects on the floor: at least two snack bags, a board game box, a can, a small white object, and a plastic bottle.;Furniture elements: a bookshelf with visible books (multiple spines), a low table with items on top, a sofa, and a cushion.;Decorative elements: two potted plants, a framed picture on the wall, and patterned wallpaper (but wallpaper texture is not counted as objects per definition).;Total visually separable entities exceed ~15 but do not reach high-density levels typical of cluttered market scenes.",high,"Objects on the floor are densely packed in the central area: snack bags, game box, can, and bottle occupy a small region with minimal empty space between them.;The low table is covered with a colorful board game surface and other items, creating overlapping visual layers.;People are seated close together, with limbs and clothing partially occluding nearby floor objects (e.g., man’s legs near snack bags).;The bookshelf contains many tightly arranged books, contributing to local density in the mid-ground.;Multiple competing visual regions (floor items, table, people, plants) draw attention simultaneously, making rapid perceptual grouping difficult in low-light conditions.",IS1/co3/IS_I_C03_D04.jpg
high,"Three people visible as distinct figures;Multiple books on shelves (at least 15–20 spines distinguishable);Several snack items on floor: chip bag, soda can, bottled drink, two boxes (Trivial Pursuit, Hugo), small card;Furniture elements: low table, bookshelf, sofa, cushion, potted plants (at least 3 plants);Wall decor: framed picture, patterned wallpaper with repeated leaf/fruit motifs (but only counted as background texture, not objects);Additional small items: bowl of fruit, cups, decorative cylinders on shelf",high,"Objects densely packed on floor around seated individuals: snacks, game boxes, cards, drinks in close proximity with minimal separation;Low table partially occluded by items and people’s limbs;Bookshelf contents tightly arranged with overlapping spines and vertical stacking;Foreground floor area contains multiple overlapping visual elements (e.g., chip bag near can, box near foot, card near leg);People’s postures and limbs intersect spatially with objects (e.g., man’s legs cross over mat and near game box), increasing perceptual interleaving;No large unoccupied regions; even the floor space is filled with discrete items, reducing visual breathing room",IS1/co3/IS_I_C03_D07.jpg
medium,"Three people are visually distinguishable as separate figures.;At least two potted plants are visible (left and center-right).;A bookshelf with multiple books and containers (e.g., red bowl, fruit bowl) contributes several distinct items.;A low table holds a board game (Trivial Pursuit box, snack bags, cans, cards), yielding ~6–8 discernible objects.;Wall art (one framed picture) and patterned wallpaper add background elements, but only the framed picture qualifies as a distinct object per definition (wallpaper texture is not counted as objects).;Total distinguishable objects: ~15–20 (people, plants, furniture, tabletop items, frame), which is moderate—not sparse, not densely packed.",high,"Objects on the floor (snack bags, cans, cards, game box) are tightly grouped with minimal negative space, creating visual density.;The central area (table + floor items) shows overlapping and interleaved elements—e.g., snack bags partially obscuring game box, cans near cards.;People are seated close together and partially occlude background elements (e.g., person on right blocks part of sofa and wall), reducing separability.;Multiple competing focal regions: left person, center table/food, right person, and background plants/art—all vying for attention without clear visual grouping or separation.;Low lighting exacerbates perceptual difficulty in separating adjacent objects, though clutter judgment is based on spatial arrangement, not illumination per se; the spatial crowding remains evident despite darkness.",IS1/co3/IS_I_C03_D06.jpg
high,"Three people visible as distinct figures;Multiple books on shelves (at least 15+ spines distinguishable);Several containers on shelf: bowl of fruit, orange bowl, two candles, glass dish;Board game on small table with visible tokens and cards;Four snack/beverage items on floor: bag of chips, Coca-Cola can, juice box, Dr Pepper bottle;Two board game boxes on floor (Trivial Pursuit, Hugo gift bag);Scattered cards on floor near left person;Two potted plants (left and center-right);Framed artwork on wall;Couch with at least two pillows;Shelf unit, small side table, blue mat on floor, red cushion under left person",medium,"Objects are distributed across floor, furniture, and shelves without heavy overlap;Floor area contains multiple discrete items (snacks, games, drinks, cards) but with visible separation and empty floor space between them;No significant occlusion among foreground objects; each item remains visually separable;Background elements (bookshelf, plants, wall art) are arranged with spacing and do not densely crowd the visual field;Three people occupy distinct spatial zones (left floor, right floor, back couch), reducing perceptual interference",IS1/co3/IS_I_C03_D09.jpg
